Service Date,Total Invoiced Amount
2024-02-24,786.92
2024-02-25,387.66
2024-02-26,1309.77
2024-02-27,181.57
2024-02-28,487.52
2024-02-29,952.05
2024-03-01,2467.49
2024-03-02,906.23
2024-03-03,2371.54
2024-03-05,2629.61
2024-03-06,232.28
2024-03-07,1482.98
2024-03-08,1902.13
2024-03-09,4085.80
2024-03-10,1760.41
2024-03-11,460.11
2024-03-12,1767.30
2024-03-13,644.17
2024-03-14,1468.46
2024-03-15,455.51
2024-03-16,969.51
2024-03-17,861.27
2024-03-18,747.80
2024-03-19,1256.46
2024-03-20,1670.22
2024-03-21,471.64
2024-03-22,2704.36
2024-03-23,1110.22
2024-03-24,2033.44
2024-03-25,391.39
2024-03-26,485.93
2024-03-27,2050.07
2024-03-28,721.82
2024-03-29,1822.35
2024-03-30,1682.59
2024-03-31,1991.28
2024-04-01,1206.44
2024-04-02,466.47
2024-04-03,1934.47
2024-04-04,575.89
2024-04-05,654.80
2024-04-06,1635.00
2024-04-07,3062.62
2024-04-08,909.88
2024-04-09,366.47
2024-04-10,3407.70
2024-04-11,1171.00
2024-04-12,2532.13
2024-04-13,194.74
2024-04-14,638.61
2024-04-15,859.24
2024-04-16,1100.54
2024-04-17,1142.87
2024-04-18,1026.57
2024-04-19,2453.29
2024-04-20,2348.30
2024-04-21,1433.91
2024-04-22,2427.04
2024-04-24,1079.24
2024-04-25,1207.56
2024-04-27,1933.83
2024-04-28,1262.63
2024-04-29,1474.31
2024-04-30,1275.37
2024-05-02,143.57
2024-05-03,1336.42
2024-05-04,2521.19
2024-05-05,1643.91
2024-05-06,1655.04
2024-05-07,1884.11
2024-05-08,1786.85
2024-05-09,689.14
2024-05-10,1861.24
2024-05-11,948.07
2024-05-12,1710.61
2024-05-13,2182.89
2024-05-14,1709.79
2024-05-15,1345.67
2024-05-16,915.51
2024-05-17,952.99
2024-05-18,236.93
2024-05-19,1067.11
2024-05-20,805.57
2024-05-21,489.81
2024-05-22,1503.06
2024-05-23,2008.82
2024-05-24,197.62
2024-05-25,1865.43
2024-05-26,1591.87
2024-05-27,2746.74
2024-05-28,1545.85
2024-05-30,1533.81
2024-06-01,3047.14
2024-06-02,2624.53
2024-06-03,1285.00
2024-06-04,896.35
2024-06-05,2339.11
2024-06-06,157.27
2024-06-07,2498.55
2024-06-08,1798.83
2024-06-09,1008.74
2024-06-10,2290.94
2024-06-11,420.41
2024-06-12,1335.00
2024-06-13,907.44
2024-06-14,1477.29
2024-06-15,1174.99
2024-06-16,1465.41
2024-06-17,1046.62
2024-06-18,1310.42
2024-06-19,1138.03
2024-06-20,971.05
2024-06-21,1616.38
2024-06-22,1857.79
2024-06-23,1068.54
2024-06-24,768.75
2024-06-25,1892.44
2024-06-26,958.35
2024-06-27,660.12
2024-06-28,608.43
2024-06-29,1460.21
2024-07-01,971.06
2024-07-02,3390.10
2024-07-03,991.34
2024-07-04,282.16
2024-07-05,1255.39
2024-07-07,1896.58
2024-07-08,1606.86
2024-07-09,1415.29
2024-07-10,621.62
2024-07-11,530.64
2024-07-12,2495.90
2024-07-13,1671.29
2024-07-14,769.47
2024-07-15,2726.81
2024-07-16,427.49
2024-07-18,1557.43
2024-07-19,1025.78
2024-07-20,1062.09
2024-07-21,1580.75
2024-07-22,1977.40
2024-07-23,1530.81
2024-07-24,226.11
2024-07-25,840.94
2024-07-26,1709.70
2024-07-27,898.76
2024-07-28,1338.40
2024-07-29,1623.27
2024-07-30,2243.78
2024-07-31,1764.12
2024-08-01,2515.98
2024-08-02,1829.83
2024-08-03,317.79
2024-08-04,1711.01
2024-08-05,1733.40
2024-08-06,2656.46
2024-08-07,697.44
2024-08-08,848.80
2024-08-09,1324.41
2024-08-10,431.79
2024-08-11,480.89
2024-08-12,290.29
2024-08-13,821.38
2024-08-14,670.25
2024-08-16,1590.84
2024-08-17,2206.79
2024-08-19,1966.22
2024-08-20,1327.91
2024-08-21,2419.50
2024-08-24,859.02
2024-08-25,231.21
2024-08-26,541.45
2024-08-27,2142.58
2024-08-28,1273.11
2024-08-29,769.81
2024-08-30,260.29
2024-08-31,2665.48
2024-09-01,706.02
2024-09-02,121.06
2024-09-03,1137.47
2024-09-04,1446.60
2024-09-05,784.81
2024-09-07,1057.04
2024-09-08,183.87
2024-09-09,471.91
2024-09-10,1791.64
2024-09-11,1815.43
2024-09-12,1782.67
2024-09-13,511.99
2024-09-14,1131.79
2024-09-15,2086.44
2024-09-16,1167.45
2024-09-17,1073.81
2024-09-18,1642.15
2024-09-19,2454.51
2024-09-20,610.73
2024-09-21,1134.74
2024-09-22,1072.07
2024-09-23,749.94
2024-09-24,940.13
2024-09-25,2007.75
2024-09-26,2149.47
2024-09-27,581.70
2024-09-28,1602.67
2024-09-29,2226.29
